,Song ID,Title,Primary Artist,Primary Artist ID,Primary Album,Primary Album ID,Tag,Primary Tag,Primary Tag ID,Music?,created_month,annotations,n_annotations
0,97.0,I'm a D-Boy,Lil Wayne,4.0,Tha Carter II,5001,rap,rap,1434.0,True,2009-09-01,"['Allusion to Austin Powers Jay-Z makes the same reference in the song Blueprint 2 rappers just seem to love Austin Powers H', 'His cocaine is so white that it looks like a car with a gleaming fresh white coat of paint.', 'This has two possible meanings:', 'I have a sharpshooter in my Land Rover in case someone tries to rob me. A jackboy is someone who jacks (robs) drug dealers (like Omar from The Wire )', 'Uses got in two different ways. I possess money in my pocket, I acquired money in my neighborhood', ""The opening line pays homage to Eric B. and Rakims classic track Paid in Full. The drum pattern here is similar to the original but slowed down slightly. Lil' Wayne carries on a more extended parallel in his feature on Lloyds Girls Around the World, which also samples the same drum pattern"", 'Three have been sold so far and he got a cash advance on them. Hes deliberately disobeying Biggies 6th crack commandment, the one about not using credit', 'The other two are his to hustle; hes going to hold onto one (for a drought, when the laws of supply and demand mean it will garner a higher price) and whip the other one into as much crack as he can', 'He doesnt care that his speakers are drowned. Hes listening for cops, not music. Hes not trying to get his belongings taken (in an interesting inversion of authority, he casts the cops as outlaw pirates)|Also sirens were mythical creatures in Greek Mythology who would use their beautiful voices to lure sailors and sink their ships. So Wayne is listening for sirens to steer clear of them, and keep his ship floating.', 'Hell kill you (touch you) like its no big dealpeople in the hood want to buy nice things (trying to floss) and will kill you for pay (your head gotta cost)|Youre going to take a loss  either your money or your life. Your choice', 'Black SS 55 thats been made into a convertible|Pre top-chop-off:', 'You can find him in the most dangerous places  not because hes trying to prove himself, but because hes trying to move product', 'Preparing a kilo of crack|The first half of this verse is about how he prepares and sells drugs. The second half (starting with Been in the caddy) is a trip down memory lane', 'Cooking and kitchen language is used all the time to describe making crack. If youre interested in how to make crack, check out these simple instructions', 'When hes cooking his crack, it separates into 3 levels (AP chemistry!) meaning that it is the purest; meanwhile, his rap songs are platinum sellinghes saying that hes multi-talented, multi-faceted', 'Bird is slang for a brick of cocainethats why hes the Bird Mane', 'If you carry around a lot of cash, a wallet starts to seem silly', 'Bricks of cocaine hidden in coffee cans in order to mask the smell', 'His operation is so large that he has women (women!) selling drugs for him in other states|Cam brags about the same thing in Get em Girls', 'Miss Gladys was Babys mother. He sold drugs right under her nose. Places that he would sell drugs: a Cadillac, an alley, and the block.', 'Curb-servin is selling drugs from the curb to people walking and driving by', 'He carries a gun for obvious reasons and duct tape to tape your mouth up if you are screaming too loud.', 'Wayne prepares drugs for the users in his neighbourhood (their breakfast), shortly after hes done doing so, his girl makes him breakfast.', 'His girl does a line of coke in the bathroom before they leave. She does an ounce a day, which is clearly a serious problem. Also, Wayne claims that he no longer touches the stuff (even though he used to have a hefty drug problem) because its bad for your skinkeep that in mind next time youre craving an ounce of yayo.', 'Hes a paper boy (a boy who gets paper i.e. money), not to be confused with a paperboy (a boy who delivers the newspaper). Hell kill you for the right price', 'Hell take youre girl, fuck her, and then use her as a drug mule while he sleeps', 'By the time you make it in the game, Ill already have accomplished everything and moved on', 'Hes a Hot Boy (the name of Lil Waynes original rap group), so hell flame up (have his gun ready)', 'Youre trying to change your strategy, Im just chilling and getting money']",29
1,98.0,Tony/Montana,Cormega,58.0,Legal Hustle,1756,rap,rap,1434.0,True,2009-09-01,"['Nine innings is the whole length of a baseball game; basically, Ghostface plays hard for the entire game', 'Aw, Ghost is such a sweetheart! The only thing better than vaginas are the women that come with them! Incidentally, to get the women it helps if you wear nice clothing|Ghostface is referencing 2Pacs line from Hail Mary:|""Revenge is like the sweetest joy next to getting pussy""|Ghost is referencing that he is often dressed in nice clothes despite his propensity for blue-collar hard work. In the next line, he is expressing that his love for women is only surpassed by the rush of winning  a general word for experiencing success in career.', 'Ive done so much in my life, you wouldnt even understand', 'Both his perception of things seen (vision) and unseen (intuition) have improved', 'Life on the streets is a prison of its own, although they dont tolerate snitches and backstabbers', 'He keeps shooting people and wishes that all these bitches would stop snitching (he means depositions or affidavits, but this works better with the rhyme scheme)', 'I assume Ghost is talking about a suicide cult, but it could be hes killed some Christians and happens to think Christianity is crazy:', 'You dont really want me to have to do this do you?', 'After the funeral, your women will come party with Ghostface', 'Possibly claiming that when the women come with him, its because hes their pimp and he makes a lot of money off them', 'No, dont get me wrong, its nothing personal, Im just killing you to make a point about agnosticism!', 'My car runs people down. You might want to get out of the way', 'An allusion to James Worthy, one of Magics teammates on the 80s Showtime Lakers teams', 'Michael Cooper, another member of the 80s Lakers teams, was an accurate jump-shooter. Cormega claims similar prowess shooting at shooting guns (or at least similarly solid technique)', 'Hes dope in the sense of being awesome, but plays on the double meaning to say that hes so dope hes worried the narcs will catch him', 'Rucker Park in Harlem is arguably the most famous location for people to play streetball', 'People change when you get money and they stay poor', 'Boots which you plan on chucking (dumping) because theyre worthless', 'He wants to be on a beach and catch a few breaks. Cormega has never been particularly commercially successful and hes still waiting', 'People on the streets relate to his pain both because they also dream of making it big and because they know hes real and should have caught a break by now', 'Stretch weight is stashing the drugs in different locations when the police is searching them/police raid goes down so you dont lose it all. A simlie that he wont fall down from grace since he balancing his weight out (stretching his weight).', 'If its true that money changes people, hes changed. But he hasnt changed in a way that is contrary to his roots', ""The old-school rapper Big Daddy Kane made his debut on Cold Chillin' Records. Cormega plays on the double meaning of kane here; hes saying he used to deal cocaine."", 'Cormega evokes memories of the old school days, when people assigned more value to great lyricism (and when drugs devastated inner cities across the country)', 'Cormega often laments the fact that the Knicks traded Latrell Sprewell. Sprewell was a fan favorite and I guess Cormega (a Brooklyn resident) really really liked him', 'The only people better than me in rap are Biggie and 2Pac, and since theyre gone Im the nicest right now']",26
2,99.0,Real Niggaz,The Diplomats,80.0,Diplomatic Immunity,2278,rap,rap,1434.0,True,2009-09-01,"[""Cam'ron is recounting his youth, when he still lived at home and had to fight with his mother for space and time to prepare drugs. He was a hard worker (10-9, in other words, all night) and hated cops (swine)"", ""Cam'ron meditates briefly on the impossibility of knowing another persons mental states. Then he describes his grand plans to reinvest crack money in the stock market, without losing his illegal contacts"", ""Juelz warns Cam to close the drug dealing spot and load up their guns before the cops descend. The cops do not have a legitimate claim to this block so our heroes will be opening fire to keep them away|44 Magnum revolver and Glock 9mm pistol. Throw shots and clap both mean shoot. Stuntin' here means the cops are heavily armed and mean business. Frontin' here means pretending"", 'Reverence for African warrior ancestors followed by macabre imagery', 'One of the rules if you belong to a gang is not to snitch on your fellow game members.', ""Juelz is issuing a challeng because hes not used to just talking the talk (frontin'). Apparently, they can either fight or see who can spend more money"", 'Shoes for the coup are rims (hes also got a big truck)', ""Cam'ron fired a shot to back up his words, took out one of his enemies' men and put a dent in his rented car|The next two lines are more difficult: supreme soloist probably refers to both his lyrical abilities and marksmanship. Even though hes an ill soloist, he stands by his partners in court|Hes a great driver who will blow out fifth gear chasing someone down (he will also plead the fifth when testifying against someone in court)"", 'According to Jim Jones, women with low self esteem scream when they get their period', 'Hes telling his fellow gangstas who are in prison wearing green uniforms to stay gangsta and keep dreaming of crime that pays', 'It pisses him off that haters want him dead; not necessarily because he will be dead, but because it will make his friends and family grieve']",11
3,968.0,Before the Great Collapse,Jedi Mind Tricks,512.0,Legacy of Blood,4016,rap,rap,1434.0,True,2010-08-01,"['From the film The Addiction stated by Lili Taylors character Kathleen', 'First couplet of the verse, Paz is writing his mom a letter on why he wants to die; he doesnt have any energy left to try to live.', 'Life is hard on Earth so he wants to go ahead and get to Heaven.', 'He is being driven crazy by the depression and suicidal thoughts.', 'His mother is the most important person in his life', 'When he dies and meets God, hell pray for everyone', 'Planetary, who is a member of Army Of The Pharaohs and affiliated with Jedi Mind Tricks, both founded by Vinnie Paz', 'King Syze, who is a member of Army Of The Pharaohs and affiliated with Jedi Mind Tricks, both founded by Vinnie Paz.', 'From the film The Addition stated by Christopher Walkens character Peina', 'He has a few things he wants to say before he commits suicide.', 'Everything he did/does is done because God/Allah made him. He believes God/Allah has chosen his fate and that everything that happens to him is meant to be.', 'Two possible ways to see this:', 'He wants his (perhaps ex) girlfriend, June, to know he loved her no matter what.', 'Stoupe the Enemy of Mankind. Vinnie and Stoupe have been friends since high school and started Jedi Mind Tricks together', 'They were destined to form Jedi Mind Tricks', 'Cheek Eloheim, fellow rapper', 'When he dies the pain inside him will be transferred to others.', 'He apologizes again for the pain he will cause his mother after his death but he wont leave her. Vinnie is an outspoken muslim so this line is interesting to hear from him but powerful nonetheless.', 'Many parents blame themselves after a suicide in the family', 'His mom is the best mom he could think of and she couldnt have done a better job in their condition/situation.', 'He is going to his belief of afterlife and he signs off the letter with his real name.', ""Vinnie Paz' real name is Vincenzo Luvineri, tho he named himself Vinnie Paz after famous Italian boxer Vinnie Pazienza"", 'Des Devious|Another friend of Vinnie. He also appears on the Presidents Wife on the same album (Legacy of Blood)']",23
4,969.0,Black Winter Day,Jedi Mind Tricks,512.0,"Servants in Heaven, Kings in Hell",4023,rap,rap,1434.0,True,2010-08-01,"['Sample from Alberto Daglios Tear Me Apart:|https://www.youtube.com/watch?v=YRcyYsWOUCs', 'Vinnie Paz has two sides to him. The angry villainous side, and the soft side. He says that if you give him love and show him support, then this song is dedicated to you. The listener.', 'Paz regrets some of the things he has said, and they come back to him when he sees the results of what he has said through the reactions of people like his girl.', 'He wants to have emotions and be close to people but here is so much armor around the sensitives parts of his heart that he cant relate normally to other human beings', 'Vinnie has a hard time being real with close ones, but he hates when they arent real with him.|The dumb shit he is taking about also could be another one of his shots at the music on the mainstream radio stations', 'Vinnie Paz resorts to pills of sorts to get away from his ever increasing pain.', 'He wants to be mature and lose his dependence on alcohol', ""Paz'es life is a horror book come to life. He is headed for a coffin or a jar of ashes (box or an urn)"", 'One of Jedi Mind Tricks prominent themes throughout their carrier has been topics including death, violence, and murder. Vinnie Paz, is now seeing himself dying, but he is so desensitized to death that it doesnt really frighten him. He has stated in other songs that he is to at ease with it, and he doesnt wish to be. It is one of his diseases if you will, that he has acquired and is apparent during some of the seasons in his life.', 'The leaves on the tree he has watched burn are his hopes and aspirations; the other paths he could have chosen. He wants to learn more about other facets of life. But alas life is sort and he is going to use his breath for what he is good at of the remainder of his days.|The burning of the leaves represents the passing of Fall into the black Winter of the songs title.', 'Living with the constant thought of killing yourself to escape ones thoughts is often seen as the last solution for peace in people with suicidal tendencies. Vinnie explains that he wishes he wouldnt feel like killing himself (was the only solution) with a nine (9.9mm) to escape his never ending negative thoughts.']",11
5,970.0,On the Eve of War (Julio Cesar Chavez Mix),Jedi Mind Tricks,512.0,Legacy of Blood,4016,rap,rap,1434.0,True,2010-08-01,"['GZAs second solo record was the instant classic and highly rated Liquid Swords album.', 'Vinnie is saying that if he says something its anger,', 'Four four is a reference to a.44 caliber gun.', 'Using the microphone cord as a noose. Aka choking on the mic.', 'He gives respect in his songs to the best rappers of all time.', 'Hes saying try to picture hell and chaos from Philadelphia to New York City', 'Paz is just like Gandalf who brought four people (Legolas, Gimli, Boromir, and Aragorn) to destroy the ring of Sauron.', 'When somebody has smuggled a gat (gun) in the bing (prison) there will be a murder', 'Hes saying that they put their heart into it when they make music.', 'He questions the listener on whether his lyrics are actually brilliant, or if they are just due to madness', 'Hes saying that men are all equal, as we are all men on Earth.', 'The chrome pistol will blow out the back of your head', 'The Cops usually dont like rap.', ""See more here. The sample is from Dj muggs' third world."", 'No matter how much you wouldve paid for a ticket for Wu-Tang, they would be immense', 'Wherever they are they still know how to have a good time', 'Freddie Adu was an American soccer phenom who made the national team as a teenager and was supposed to be an American superstar for the sport|https://www.youtube.com/watch?v=WessJQ2O8e0', 'Reference to the track Swordsman on his classic album Liquid Swords', 'Nobody wants to battle GZA because hes one of the best lyrically and hell beat you. This is referring to the previous line where he mentions how good of a lyricist he is.', 'It gets thick means its gets serious and dangerous for the people GZA is responding to.', 'Vinnie shouting out Jedi Mind Tricks (which at the time consisted of him and Stoupe The Enemy of Mankind', 'Since GZA is the oldest member of The Wu-Tang Clan and is on this track  Paz is giving Wu-Tang a shoutout as well.', 'Stoupe is one of the best producers in the game and he did a lot of work with Jedi Mind Tricks (he was their main producer) and he produced this track as well. Paz giving him a shoutout, as well.', 'if you go against them or their beliefs, they will kill your children Just a threat for others to not oppose them', 'A quote from The Holy Koran [3.162] Is then he who follows the pleasure of Allah like him who has made himself deserving of displeasure from Allah, and his abode is hell; and it is an evil destination.']",25
6,971.0,The Winner,Drake,130.0,Born Successful,333244,rap,rap,1434.0,True,2010-08-01,"['ppl came to see', 'make sure the moneys right before he goes on stage', 'his ex will probably go and tell her friends it was wack simply because she is his ex..but it aint about her, its about him and thats who everyone including her is going to see', 'Drake is using the scenario that he is depicting to address one of his criticisms. In the first few bars of the verse, Drake raps about one of his shows, which is set at a 21 and over venue, or an 18 and over venue depending on where he is performing. The critique that his whole fan base is missing ID suggests that they are all underage, and that Drake makes music for kids. However, he embraces this label in the next line by claiming that he is a young trendsetter.', 'Hes a trendsetter in the music game and has definitely changed hip hop by bringing his own style to it. People recognize this and giving him his props for it.', 'Singer India Arie', 'Hes declaring himself the realest young up and coming artist. (This song was released when drake was fairly young)', 'The Soho Cosmo (short for Soho Cosmopolitan) and Bymark are very high end luxury hotels in Downtown Toronto, Drakes native city.', 'Saying the drinks on me means hell pay for them just as the drinks are supposed to be on a coaster.|Ironically Common would use a similar line to diss Drake on Sweet.', 'what hes doing, what hes done, where hes been and where hes at is only the start of whats to come and its all a result of him staying home working on his music while everyone else is out having fun', 'he deserves the awards he receives and the top is where he belongs..|even katt williams says u need haters so he hopes they dont go away..if you got haters your doing something right', 'When someone says happy belated, they are saying happy belated birthday wishes. In Drakes case, he means that they they are saying happy belated recognition of fame. As in, Were happy for you that you finally became famous and made it! (which goes well with the next line)', 'Hot Beats is a recording studio in Atlanta And when he was there all he did was give people hand shakes (Daps)', 'He is talking about Hot Beats, a recording studion in Atlanta; while he was there he didnt get to rap, serving more as an intern', 'when drake was 17 he was dropped from his own group by its manager. http://www.youtube.com/watch?v=n6N7-hHZXdY', 'Its awkward to act like you are a mediocre artist and at the same time praise the rapper whose track it is then when it comes time to spit you clearly have the better verse(s).', 'Eggs of course are an icon of Easter. Eggs hatch. So do plans. Drakes saying that his plan has unfolded and hes using Easter as a pun', 'A reference to the starting five players in basketball. Drake is saying that hes so good at the game (in his case the rap game) that the coach wont even have to switch anyone new in if hes playing', 'Drake says he is never looking down, as people who are sad depressed or just lost do, so he will always knows wassup, as in whats going on, and literally what is in the sky. Even though there is not much to look at', 'people are sayin fuck drake but tellin it to everyone else rather than sayin it to his face', 'His verses are as hot (awesome) as Starbucks coffee. To double cup means that you get two coffee cups to absorb the heat so that you dont burn your hands. In other words, Drakes verses are so hot that, if they were a coffee, you would need to cups to handle them', 'a metaphor..flat shoes with not much comfort and have no support..and thats how he feels', 'Drake is comparing himself to other fellow TV stars/ rappers Nick Cannon and Will Smith. Saying he goes harder than they ever did despite his status as a Degrassi alum.', 'Drake lived in Toronto, Canada and his dad lived in Memphis Tennessee. Even though they lived in separate countries he still has love for his pop.', 'Evelyn Cher was Drizzys grandmother.|Drakes grandmother has always been there for him and hes stating that Heaven should get ready for when she gets there, which unfortunately happened on Thanksgiving day, 2012.|On the track titled Look At What Youve Done, the song ends with Drakes grandmother in a voicemail wishing him the best and expressing how thankful she is for him:|""All I can say Aubrey is, I remember the good times we had together and the times I used to look after you and I still have wonderful feelings about that. So God bless you, and I hope Ill see you.""', 'He is saying that his new girls ass is round like a circle, which is the shape a merry-go-round traces', 'Hes referring to R&B singer Marios some called Crying out For Me', 'Polo is short for Polow the Don, who is a famous Hip-hop/R&B producer.', 'Drake was coming out with alot of new music around this time which made his first album even more anticipated. Everybody was ready for a release date and no one knew just how much hed take the world by storm.']",29
7,973.0,Mr. Me Too,Clipse,5.0,Hell Hath No Fury,1597,rap,rap,1434.0,True,2010-08-01,"['Push borrows a line from Nardo Ranks\' Burrup (Hip Hop Mix)|""Woman if you love me, please let me know""', 'While Pharrell and the Clipse left the game during the Clipses label disputes, the streets filled with fake hustlers. Now that the real leaders are back, the fraudulent gangsters are washed up.', 'The official record label of Pharrell and the Neptunes. Its a play on Star Trek, the popular science-fiction franchise that spawned generations of nerds', 'Many people hate on Pharrell for being a fake gangster or being the skinny kid in rap. In reality, he is a legendary producer and one of the leading figures in the game. He seems to be only surrounded by those wanting to discredit him, while he continues to rise to the top.', 'Hes talking about these', 'Ice creams: Colorful, urban shoes distributed by the brand Billionaire Boys Club, partly owned by Pharrell. Ice Cream has their own skate team, titled Team Ice Cream|The skater hes talking about is Terry Kennedy AKA TK, now skating for Supra. He appears in the video for Drop It Like Its Hot.', 'Shoes by the company A Bathing Ape, a.k.a. Bape are, on average, $300 a pop. The company is a favorite of Pharrell and Clipse', 'Wearing bullet-proof vests under their t-shirts|Though Pharrell has his fair share of haters, hes not exactly at the fear of being killed stage yet', 'D-Class refers to the clarity of a diamond, where D is quite good. Asscher cut is a particular cut of diamond (sometimes also called emerald cut). It has large, open facets compared to many other cuts, which makes it less sparkly/brilliant, which makes color imperfections and inclusions more obvious. Hence D-cut is even more important. See http://www.mazaldiamond.com/blog-en/asscher-cut-diamond/|The diamonds Pharrell wears are of such good quality that he recommends others hide their own jewelry so they arent embarrassed.', 'Double Entendre:|Liberace was not shy to show off his rings.', 'What did you do last week? You blazed weed and watched Road House again? Thats nice|Me? I just hit up some exclusive ski resort in Aspen with my pal P. Diddy. No big deal', 'These expensive, luxurious vacations are a week to week thing for Pharrell. Despite having the body of a 12-year-old boy, he apparently drives Italian women (including, apparently, Donatella Versace ) crazy with his cute sneakers and skateboarding skills', 'Pharrells got so much cash, dropping 700 stacks on a Ferrari Enzo is so blase an activity, he doesnt even bother doing it in person', 'A paddy wagon refers to a police vehicle, typically used to transport prisoners from one place to another|Between their previous album Lord Willin and the album this song appears on, Hell Hath No Fury, The Clipse were locked in a music industry limbo. Jive, the label the duo was on after their original label Arista dissolved, refused to release Hell Hath No Fury, instead opting to focus on more pop-oriented acts. Finally, in 2006 (after two years) The Clipse and Jive agreed to release the album|Pusha is likening the duos contractual problems with Jive to being locked down in prison', 'The streets = the market for cocaine and/or the rap game', ""Nice little throwback to the ol' 3rd grade insult bag here, just to keep things original. It means that youve been acting stupid and messing around while T was gone"", 'While T expected to leave the drug and rap game in good hands while fighting the label, he came back to find a mess. Between no good drops and terrible songs, it looked as if rap had sat around in their absence.', 'The money Pusha made from crack sales afforded him designer fur coats by Roberto Cavalli|Fellow fashionista Kanye West knows what hes talking about', 'When T walks by the ladies, they get aroused. Likewise, his fur coat is like wearing a whole cat.', 'All of Pushas associates are rich (caked up, cake being slang for money) from selling coke and heroin|They didnt get that way by dunce capping and kazooing  if you owed them money and couldnt pay the full amount it was duct tape time for you (theyd kidnap and probably kill you)', 'Instead of getting caught up in petty beef, Pusha and friends spend their time making money', 'They counted so much cash when they pushed drugs they got paper cuts|I recommend converting all cash to gold doubloons', 'Slowed down. The Clipse like to actually chill, taking the time to relax.|Their diamonds are also so cold that the level of swagger is just stupid. Stupid fresh!', 'Lamborghini Gallardo  nice ride, but if I had rap money Id definitely spring for the Murcielago. But maybe thats just me|Gallardo (about $200,000)|VS|Murcielago (about $300,000)', 'The song Burrup by Reggaeton artist Nardo Ranks contains a similar brr sound as well as the line woman if you love me, please let me know|Perhaps they are also flaunting their teal Lamborghini Gallardos, that go brr like theyre being raced at the world-renowned, high speed test track the Nard Ring, in the Italian city of Nard|Brr round this:', 'To be Pushas girl you have to wear gang colors and learn all the gang hand symbols Pusha uses', 'Pharell and the Re-Up Gang continually have to act bemused with the constant comparison of Mr. Me Too. Pusha and Malice acknowledge that you bite their style, persona, and subject material after they originated it. Imagine them rolling their eyes each time.', 'The classic hiphop car that posers are quick to copy. You can ride in a Benz, but you will always lack the swagger of a professional.', 'Mr. Me Too makes sure that everyone can see them in their Benz. A true baller lets the car do the talking and gets seen naturally.', 'G2, G3, G4  all in the Gulfstream series of private jets produced by Gulfstream Aerospace.|Their latest model, the famous G6:|To be fair, Pharrell, its not like youre hanging out the window of a jet either', 'Pharell helped get Clipse into the game, lining up their first deal after N.E.R.D. took off.', 'To clock someone is to watch them. If you want to know the time (metaphorically, as in whats in style right now), you should keep your eye on Malice, Pusha, and Pharrell|Also notice the wordplay on time and clock', 'Guys bite (copy) our entire style! From our shoes to our watches and everything in between!', 'Classic mafiosos were known for their dapper dress, wearing custom-tailored suits and apparel. This is in stark contrast with the rags that adorn petty, small-time drug dealers', 'Malice takes the kilos of cocaine he ships in and breaks them down to bite-sized dime ($10) bags. Like the cornerstore market pushing out 10 cent Gobstopper candies, Malice can always hustle his product with ease.', 'By the time that most realized how much of a threat the Clipse were to the coke and rap games, it was too late to make a change. Instead of being able to reclaim the throne, haters can only watch and Malice and Pusha dominate it all.', ""Bentley Azure with Mulliner trim:|We also offer this alternative, more awesome interpretation:|If the lyric was ivory white, yeah thats the same color of the Zord nigga, the line would be a great reference to TVs Mighty Morphin' Power Rangers|The crime fighting Rangers, when cornered, would call upon their Zords.|Tommy, the White Ranger, had the illest Zord:"", 'Mulliner is a company that works with certain auto manufacturers to make custom high end automobiles for clients|The company also inspired a watch by luxury watch maker Breitling|Malice only settles for the highest quality, flashiest ride available.', 'Malice accuses other rappers of spreading gossip|This could also be a diss to the Ying Yang Twins for their song Wait (The Whisper Song)', 'Name dropping Malice or Pusha T just isnt in your best interest', 'Lavish lifestyle innuendo', 'Mink rugs are very warm so you might literally get hot if you were laying on one, but a woman might also get hot sexually at the fact that Malice can afford a mink rug|This could also carry a third meaning which would tie into the next two lines. His mink dragging on the floor might cause anyone who doesnt make as much money as him to get mad, when they realize how much better off financially he is.', 'Realizing exactly how much loose money Malice has is a quick way to depression. Most likely, Malice dropped more on his mink than you made over an entire year of work. Hurts, doesnt it?', 'In the hustle game, you can die at any time. Your life is always at risk, no matter where you are or what time of the day it is']",44
8,974.0,Release Yo' Delf,Method Man,228.0,Tical,5638,rap,rap,1434.0,True,2010-08-01,"['A cover/rewrite of Gloria Gaynor s I Will Survive|https://www.youtube.com/watch?v=gYkACVDFmeg', 'Method Man was so awesome that other MCs were scared of him, but then again it may have something to do with those scary teeth that he used to sport|Yep, I think that would give me nightmares.', 'Those other rappers had to go back and change their styles to try to keep up with Meth.|The expression Jet back to the lab is from Rakims Microphone Fiend and it means to go back to the studio and do some new stuff.', 'If the homicide detectives are chasing you, youd better run quick.|Thats how fast youd better run when Meth is coming after you.', 'Meths rap flow are the truth. Also the use of steer shows that Meth is taking you on a journey.', 'A B.A.N. is a dude that tries to be cool, but is unsuccessful. Just a soft, sorry, wannabe.|Anyone who is like that in the rap game, wont have a successful career. Rap fans hate fakes|or maybe not.', 'Method Man maintains an unusual rhyme scheme through nearly the entire verse. Every line but the last two rhyme the beginning with the end (Check it/mention, Doo-doo/voodoo, sickness/quickness, etc.). This verse is great to cite if you ever find yourself in an argument with someone who believes Method Man wasnt an innovative lyricist.', 'Off top, Meth doesnt hesitate to call himself the better of whoever his peers happen to mention.', 'When Method Man stepped on the scene the fans began to notice that all the other rappers styles were wack.', ""Other rappers' styles are crap."", 'Voodoo refers to a broad set of beliefs, but in popular culture is associated with magic-like acts.|So Meths style is versatile (black) magic.', 'Smoking weed makes you more creative|Riiight', 'Similar to a rap-version of Curtis Mayfields  Pusherman , Method Man is calling himself a top-tier provider of hardcore rap lyrics.', 'Poseidon is the Greek God of the ocean and earthquakes. The Poseidon Adventure is a disaster movie involving a ship that is overturned at sea. At the end of the movie, the ship sinks into the ocean, which is pretty deep.', 'A tincture is an alcoholic extract (e.g. of leaves or other plant material) usually used as medicine.|1 guess as to what plant material Meth is suggesting.|These other rappers need that medicine before they start spreading their lame sickness.', 'Meth has the medicine for the sickness afflicting wack emcees.', 'Death is the Penalty. Check NOI/NGE for description of the enemy', 'When a thug has lost someone close to him, like his weed-man or his nigga, then he will show his sadness by pouring some of his alcohol on the ground (its like a way to share the liquor).|Anyone whos crossed Method Man ends up dead.', 'The emotion from a Method Man track is so powerful that people throughout your hood can feel it.', 'When he smokes a blunt, his true self is revealed. Just like Bob Marley', 'Method Man is doing his damndest to keep you pumped up, so keep moving and hit that climax', 'At this point, its obvious to all that Meth has got the crowd going. I bet the whole neighborhood can hear people partying.', 'Delf = Self. When the music hits you, you release all your inhibitions and release your true self.', 'The term is from a 70s martial arts movie of the same name. Films like these had a influence on the Wu Tang members.', 'If someones got a problem with anyone associated with the WuTang Clan, he will take down him and his family', 'Hes coming to take peoples heads, in other words hes cutting heads off.', 'Meth doesnt give a fuck, hell take shots at the Pope if need be.', 'Reference to Methods line from the track Da Mystery of Chessboxin which is from the essential Wu album Enter the Wu-Tang (36 Chambers).', 'The temperature is rising, meaning that Meth is feeling the pressure from people getting up on his dick and putting their nose in his business.', 'People are jocking or imitating Meth so much its like they want to have sex with him.', 'Shits about to hit the fan, bodies are about to hit the floor.|http://www.youtube.com/watch?v=8Wm6IfvH_us', 'A phrase Popeye (the cartoon character) says before eating spinach, which inevitably leads to him fucking shit up (or, in this case, shit hitting the fan)|http://www.youtube.com/watch?v=h97kbv4mbsc', 'Everyone can point a gun, but that does not prove that you are a man.', 'They dont know about Meth until he starts to kick rhymes, feeding you the raw sound. wash it down with a Mistic or even a Snapple', 'Juice means respect, so everyone wants respect, but few will do what it takes to get it.|Juice is used here as a pun comparing respect to Snapple/Mystic beverages, suggesting that people want both to get respect and also require juice to wash out the raw sound that they just ate.', 'He doesnt just want to overthrow the metaphorical castle, he wants to be your spiritual leader.', 'Hes coming dressed in all black like a ninja.', 'Hes coming after you in a rental car, which will make it harder for the authorities to trace him after the fact.', 'The firearm is locked and loaded, theres no reason to waste time even getting it read to blast at you.', 'Basically you better Protect Ya Neck if you dont want to get shot.']",40
9,975.0,Santana's Town,Juelz Santana,78.0,,,rap,rap,1434.0,True,2010-08-01,"[""Juelz' weapon of choice is the TEC-9 machine gun."", ""The Diplomats a Harlem-based hip hop group founded by Cam'ron and Jim Jones in 1997"", ""Juelz is on top of the world. We all know about big pimpin'"", ""to walk with an urban swagger. see Nas' Represent"", 'Double entendre for swallowing jizz and for getting drunk drinking shots', 'Goonsday= on the block|doomsday=Tuesdays and Thursdays|Tuesdays and Thursdays= when Narcotic squads (D.Ts) in Harlem patrol in unmarked cars, aka be careful hustlin on those days as they watch almost all hot blocks those two days. The Hot Boys wrote a whole song about this concept', '.44 magnums and Glocks, two types of pistols that police have been known to carry.', 'These are references to the second world war. His posse like those of the kamikaze and Nazi are ready to do some horrible things.', 'Juelz is rich and has tons of money, the dude he is talking to isnt.', 'Wordplay with BM:|Hes in his expensive BM (BMW automobile) with your old BM (Baby Mother). He is fucking your bitch and there is nothing you can do about it.', 'Ozium is an air sanitizer in a can that is used to cover up all sorts of odors.', 'The Universal Zulu Nation was an organization formed by legendary DJ Afrika Bambaataa']",12
